organization,url
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",https://www.theglobalfund.org/en/board/
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",https://www.theglobalfund.org/en/board/committees/
Missile Technology Control Regime,https://www.mtcr.info/en/partners/mtcr-experts-groups
Missile Technology Control Regime,https://www.mtcr.info/en/partners
Nuclear Suppliers Group,https://www.nuclearsuppliersgroup.org/index.php/en/about/organisation
Nuclear Suppliers Group,http://www.nuclearsuppliersgroup.org/index.php/en/about/chairs-corner
Nuclear Suppliers Group,https://www.nuclearsuppliersgroup.org/index.php/en/about/participants
Wassenaar Arrangement,https://www.wassenaar.org/about-us/
Egmont Group of Financial Intelligence Units,https://egmontgroup.org/about/leadership/
Egmont Group of Financial Intelligence Units,https://egmontgroup.org/about/organization-and-structure/
Egmont Group of Financial Intelligence Units,https://egmontgroup.org/en/content/egmont-group-secretariat
Group of 24,https://g24.org/about/organizational-structure-and-governance/
Group of 24,https://g24.org/secretariat/
Group of 24,https://g24.org/members/
Group of 77,https://www.g77.org/doc/presiding.html
Group of 77,https://www.g77.org/doc/
Paris Club,https://clubdeparis.org/en/communications/page/the-chair-and-the-secretariat-of-the-paris-club
Paris Club,https://clubdeparis.org/en/communications/page/who-are-the-members-of-the-paris-club
ASEAN Plus Three,https://aseanplusthree.asean.org/about-apt/
ASEAN Plus Three,https://asean.org/what-we-do/secretary-general-of-asean/
East Asia Summit,https://eastasiasummit.asean.org/about-east-asia-summit
East Asia Summit,https://eastasiasummit.asean.org/eas-participating-country
Open Government Partnership,https://www.opengovpartnership.org/about/who-we-are/steering-committee/sc-composition/
Open Government Partnership,https://www.opengovpartnership.org/about/who-we-are/board-of-directors/
ASEAN Regional Forum,https://aseanregionalforum.asean.org/about-arf/
International Centre for Settlement of Investment Disputes,https://icsid.worldbank.org/about/secretariat
International Centre for Settlement of Investment Disputes,https://icsid.worldbank.org/about/member-states/administrative-council
African Court on Human and Peoples' Rights,https://www.african-court.org/wpafc/current-judges/
African Union Court of Justice and Human Rights,https://au.int/en/legal-organs
African Union Court of Justice and Human Rights,https://au.int/organs/cj
Caribbean Court of Justice,https://ccj.org/about-the-ccj/judges/
Caribbean Court of Justice,https://ccj.org/about-the-ccj/who-we-are/
Central American Court of Justice,http://portal.ccj.org.ni/ccj/
Court of Arbitration for Sport,https://www.tas-cas.org/en/icas/the-board.html
Court of Arbitration for Sport,https://www.tas-cas.org/en/icas/members-2023-2026/
EFTA Court,https://eftacourt.int/the-court/judges-and-staff/
European Court of Human Rights,https://www.echr.coe.int/composition-of-the-court
European Court of Human Rights,https://www.echr.coe.int/presidency-of-the-court
European Court of Human Rights,https://www.echr.coe.int/judicial-formations
Extraordinary Chambers in the Courts of Cambodia,https://www.eccc.gov.kh/en/organisation/chambers
Extraordinary Chambers in the Courts of Cambodia,https://www.eccc.gov.kh/en/organisation/office-of-co-investigating-judges
Extraordinary Chambers in the Courts of Cambodia,https://www.eccc.gov.kh/en/organisation/administration/court-management
International Court of Justice,https://www.icj-cij.org/current-members
International Court of Justice,https://www.icj-cij.org/members
International Criminal Court,https://www.icc-cpi.int/about/presidency
International Criminal Court,https://asp.icc-cpi.int/elections/judges
International Residual Mechanism for Criminal Tribunals,https://www.irmct.org/en/about/principals
International Residual Mechanism for Criminal Tribunals,https://www.irmct.org/en/about/organization
International Tribunal for the Law of the Sea,https://www.itlos.org/en/main/the-tribunal/members/
International Tribunal for the Law of the Sea,https://www.itlos.org/en/main/the-tribunal/the-president/
Permanent Court of Arbitration,https://pca-cpa.org/en/about/introduction/administrative-council/
Permanent Court of Arbitration,https://pca-cpa.org/en/about/introduction/secretary-general/
Residual Special Court for Sierra Leone,https://rscsl.org/the-rscsl/rscsl-principals/
Residual Special Court for Sierra Leone,https://rscsl.org/the-scsl/the-office-of-the-registrar/
Special Tribunal for Lebanon,https://www.stl-tsl.org/en/about-the-stl/biographies/judges-of-the-special-tribunal-for-lebanon
Special Tribunal for Lebanon,https://www.stl-tsl.org/en/about-the-stl/structure-of-the-stl/the-office-of-the-prosecutor
Collective Security Treaty Organization,https://en.odkb-csto.org/secretary_general/
Collective Security Treaty Organization,https://en.odkb-csto.org/structure/
Collective Security Treaty Organization,https://en.odkb-csto.org/authorized_organs/secretariat/
Combined Maritime Forces,https://combinedmaritimeforces.com/cmf-leadership/
Inter-American Defense Board,https://jid.org/en/director-general-2/
Inter-American Defense Board,https://jid.org/en/presidente-2/
Islamic Military Counter Terrorism Coalition,https://www.imctc.org/en/AboutUs/theMilitaryCommander/Pages/default.aspx
NATO Parliamentary Assembly,https://www.nato-pa.int/content/assembly-structure
NATO Parliamentary Assembly,https://www.nato-pa.int/content/secretary-general-1
NATO Parliamentary Assembly,https://www.nato-pa.int/content/international-secretariat
NATO Support and Procurement Agency,https://www.nspa.nato.int/about/leadership
NATO Support and Procurement Agency,https://www.nspa.nato.int/about/leadership/nspa-general-manager
North Atlantic Treaty Organisation,https://www.nato.int/cps/in/natohq/who_is_who.htm
North Atlantic Treaty Organisation,https://www.nato.int/en/about-us/organization/nato-structure/nato-secretary-general
International Council of Museums,https://icom.museum/en/about-us/executive-board/
International Council of Museums,https://icom.museum/en/about-us/general-secretariat/
International Council on Archives,https://www.ica.org/en/the-international-council-on-archives/governance
International Council on Archives,https://www.ica.org/en/about-executive-board
International Council on Archives,https://ica.org/en/governance-2/ica-leadership
International Federation of Library Associations and Institutions,https://www.ifla.org/units/governing-board/
International Federation of Library Associations and Institutions,https://www.ifla.org/governance-structure/
International Federation of Library Associations and Institutions,https://www.ifla.org/board-composition-and-functions/
Forest Stewardship Council,https://fsc.org/en/governance-strategy/board-of-directors
International Union for Conservation of Nature,https://iucn.org/about-iucn/iucn-governance/iucn-president-and-council
International Union for Conservation of Nature,https://www.iucn.org/about/senior-management/leadership-team
International Union for Conservation of Nature,https://iucn.org/about-iucn/iucn-governance
Marine Stewardship Council,https://www.msc.org/about-us/governance/structure/board-of-trustees
Marine Stewardship Council,https://www.msc.org/about-the-msc/who-we-are/our-executive-committee
WWF International,https://www.worldwildlife.org/about/board-and-council/
WWF International,https://www.worldwildlife.org/about/leadership-team/
Extractive Industries Transparency Initiative,https://eiti.org/eiti-board
Extractive Industries Transparency Initiative,https://eiti.org/international-secretariat
Extractive Industries Transparency Initiative,https://eiti.org/governance
International Organisation of Supreme Audit Institutions,https://www.intosai.org/about-us/organs/governing-board
International Organisation of Supreme Audit Institutions,https://www.intosai.org/about-us/organs/general-secretariat.html
World Economic Forum,https://www.weforum.org/about/leadership-and-governance/
Inter-Parliamentary Union,https://www.ipu.org/about-ipu/structure-and-governance/executive-committee
Inter-Parliamentary Union,https://www.ipu.org/about-ipu/structure-and-governance/secretary-general
Inter-Parliamentary Union,https://www.ipu.org/about-ipu/structure-and-governance
Parliamentary Assembly of the Mediterranean,https://pam.int/the-assembly/secretariat
Parliamentary Assembly of the Mediterranean,https://pam.int/the-assembly/
Drugs for Neglected Diseases initiative,https://dndi.org/our-people/our-governance/
Drugs for Neglected Diseases initiative,https://dndi.org/our-people/our-leadership/
International Council of Nurses,https://www.icn.ch/who-we-are/organization/board-directors
International Council of Nurses,https://www.icn.ch/who-we-are/organization
International Council of Nurses,https://www.icn.ch/who-we-are/council-national-nursing-association-representatives-cnr
International Federation of Pharmaceutical Manufacturers and Associations,https://www.ifpma.org/who-we-are/our-governance-and-leadership/
International Federation on Ageing,https://ifa.ngo/about-us/board-of-directors/
International Federation on Ageing,https://ifa.ngo/about-us/governance/
International Federation on Ageing,https://ifa.ngo/about-us/secretariat/
International Pharmaceutical Federation,https://www.fip.org/fip-council
International Pharmaceutical Federation,https://www.fip.org/structure-and-statutes
International Planned Parenthood Federation,https://www.ippf.org/board-of-trustees
International Planned Parenthood Federation,https://www.ippf.org/about-us/accountability/governance
RBM Partnership to End Malaria,https://endmalaria.org/about-us/governance/board
RBM Partnership to End Malaria,https://endmalaria.org/about-us/governance/secretariat
RBM Partnership to End Malaria,https://endmalaria.org/about-us/rbm-partnership-end-malaria-governance
Stop TB Partnership,https://www.stoptb.org/who-we-are/board/board-members
Stop TB Partnership,https://www.stoptb.org/who-we-are/board
Stop TB Partnership,https://www.stoptb.org/who-we-are/board/board-committees/executive-committee
Unitaid,https://unitaid.org/executive-board/
Unitaid,https://unitaid.org/our-organization/
World Medical Association,https://www.wma.net/who-we-are/leaders/
World Medical Association,https://www.wma.net/who-we-are/structure/
World Medical Association,https://www.wma.net/who-we-are/secretariat/
Action Against Hunger,http://www.actioncontrelafaim.org/fr/nos-combats/nous-connaitre/organisation/conseil-administration
CARE International,https://www.care-international.org/our-leaders
CARE International,https://www.care-international.org/who-we-are/governance
Caritas Internationalis,https://www.caritas.org/who-we-are/caritas-governance-and-leadership/
Danish Refugee Council,https://drc.ngo/about-us/organisation/
Danish Refugee Council,https://drc.ngo/en/pages/the-organisation/
International Committee of the Red Cross,https://www.icrc.org/en/governing-bodies-icrc
International Committee of the Red Cross,https://www.icrc.org/en/icrc-directorate
International Committee of the Red Cross,https://www.icrc.org/en/members-international-committee-red-cross
International Federation of Red Cross and Red Crescent Societies,https://www.ifrc.org/who-we-are/people-and-structures/ifrc-governance/governing-board
International Federation of Red Cross and Red Crescent Societies,https://www.ifrc.org/who-we-are/people-and-structures/global-leadership-team
International Federation of Red Cross and Red Crescent Societies,https://www.ifrc.org/who-we-are/people-and-structures/secretary-general
International Rescue Committee,https://www.rescue.org/board-and-advisors
International Rescue Committee,https://www.rescue.org/leadership
Médecins Sans Frontières,https://www.msf.org/international-board
Médecins Sans Frontières,https://www.msf.org/how-we-are-run
Mercy Corps,https://www.mercycorps.org/who-we-are/our-team
Norwegian Refugee Council,https://www.nrc.no/who-we-are/leadership
Norwegian Refugee Council,https://www.nrc.no/who-we-are/secretary-general-jan-egeland
Oxfam International,https://www.oxfam.org/en/our-governance
Oxfam International,https://www.oxfam.org/en/stichting-oxfam-international-board-directors
Plan International,https://plan-international.org/organisation/structure/governance/
Plan International,https://plan-international.org/organisation/structure/leadership-team/
Plan International,https://plan-international.org/organisation/structure/whos-who/
Save the Children International,https://www.savethechildren.net/our-leadership
Save the Children International,https://legacy.savethechildren.net/about-us/our-leadership/global-board
World Vision International,https://www.wvi.org/about-us/our-leadership
World Vision International,https://www.wvi.org/about-us/our-structure
International Association of Prosecutors,https://www.iap-association.org/About/IAP-Executive-Committee/Members-of-the-Executive-Committee
International Association of Prosecutors,https://www.iap-association.org/About/IAP-Executive-Committee
International Bar Association,https://www.ibanet.org/executive-officers
International Bar Association,https://www.ibanet.org/management-board
International Bar Association,https://www.ibanet.org/governance-and-management
International Organisation of Employers,https://www.ioe-emp.org/about-us/our-governance
International Organisation of Employers,https://www.ioe-emp.org/largest-network-of-the-private-sector-in-the-world/our-team
International Social Security Association,https://www.issa.int/about/governance-and-management
International Trade Union Confederation,https://www.ituc-csi.org/conseil-general
International Trade Union Confederation,https://www.ituc-csi.org/ituc-general-secretary
Trade Union Advisory Committee to the OECD,https://tuac.org/about/presidency-working-groups-chairs/
Trade Union Advisory Committee to the OECD,https://tuac.org/about/policy-staff/
World Federation of Trade Unions,https://www.wftucentral.org/presidential-council/
Committee on Data of the International Science Council,https://codata.org/about-codata/executive-committee/
International Astronomical Union,https://www.iau.org/IAU/Iau/Communities/Executive-Committee-Officers.aspx
International Astronomical Union,https://www.iau.org/Iau/Iau/About/Governance-Overview/Executive-Committee.aspx
International Mathematical Union,https://www.mathunion.org/organization/imu-executive-committee
International Mathematical Union,https://www.mathunion.org/organization/imu-leadership-2023-2026
International Science Council,https://council.science/about-us/governance/governing-board/
International Science Council,https://council.science/about-us/staff/
International Statistical Institute,https://isi-web.org/board-council-and-office
International Union of Biological Sciences,https://iubs.org/about-us/board-present-2/
International Union of Biological Sciences,https://iubs.org/about-us/iubss-governance/
International Union of Geodesy and Geophysics,https://iugg.org/about/iugg-administration/
International Union of Geological Sciences,https://www.iugs.org/executive
International Union of Geological Sciences,https://www.iugs.org/organization/governing-bodies
International Union of Pure and Applied Chemistry,https://iupac.org/who-we-are/executive-board/
International Union of Pure and Applied Chemistry,https://iupac.org/who-we-are/our-leadership/
International Union of Pure and Applied Chemistry,https://iupac.org/who-we-are/science-board/
International Union of Pure and Applied Physics,https://iupap.org/who-we-are/internal-organization/officers-council/executive-council-members-2025-2027/
International Union of Pure and Applied Physics,https://iupap.org/who-we-are/internal-organization/officers-council/
PEN International,https://www.pen-international.org/who-we-are/
African Network Information Centre,https://afrinic.net/board
African Network Information Centre,https://afrinic.net/team
African Network Information Centre,https://afrinic.net/governance
American Registry for Internet Numbers,https://www.arin.net/about/welcome/board/
American Registry for Internet Numbers,https://www.arin.net/about/welcome/staff/
American Registry for Internet Numbers,https://www.arin.net/about/welcome/ac/
Asia-Pacific Network Information Centre,https://www.apnic.net/about-apnic/organization/structure/apnic-executive-council/ec-members/
Asia-Pacific Network Information Centre,https://www.apnic.net/about-apnic/team/
Institute of Electrical and Electronics Engineers,https://www.ieee.org/about/corporate/board
Institute of Electrical and Electronics Engineers,https://www.ieee.org/about/corporate/leadership.html
